FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_H_Trapeze_I_tachy_1M.eposacq
Date :;24/03/2026
Heure :;16:42:28

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
       165;    1320,0;;         2;      -575;
       166;    1328,0;;         2;      -599;
       167;    1336,0;;         2;      -695;
       168;    1344,0;;         2;      -642;
       169;    1352,0;;         3;      -618;
       170;    1360,0;;         2;      -706;
       171;    1368,0;;         2;      -731;
       172;    1376,0;;         3;      -571;
       173;    1384,0;;         2;      -688;
       174;    1392,0;;         2;      -729;
       175;    1400,0;;         2;      -586;
       176;    1408,0;;         2;      -688;
       177;    1416,0;;         2;      -560;
       178;    1424,0;;         2;      -648;
       179;    1432,0;;         2;      -548;
       180;    1440,0;;         3;      -643;
       181;    1448,0;;         1;      -487;
       182;    1456,0;;         2;      -420;
       183;    1464,0;;         3;      -556;
       184;    1472,0;;         2;      -403;
       185;    1480,0;;         2;      -490;
       186;    1488,0;;         2;      -387;
       187;    1496,0;;         2;      -434;
       188;    1504,0;;         2;      -491;
       189;    1512,0;;         2;      -498;
       190;    1520,0;;         2;      -496;
       191;    1528,0;;         3;      -493;
       192;    1536,0;;         2;      -491;
       193;    1544,0;;         2;      -405;
       194;    1552,0;;         4;      -358;
       195;    1560,0;;         3;      -423;
       196;    1568,0;;         3;      -432;
       197;    1576,0;;         3;      -429;
       198;    1584,0;;         4;      -424;
       199;    1592,0;;         4;      -420;
       200;    1600,0;;         3;      -415;
       201;    1608,0;;         4;      -410;
       202;    1616,0;;         3;      -406;
       203;    1624,0;;         3;      -401;
       204;    1632,0;;         3;      -397;
       205;    1640,0;;         5;      -392;
       206;    1648,0;;         5;      -387;
       207;    1656,0;;         3;      -383;
       208;    1664,0;;         5;      -378;
       209;    1672,0;;         5;      -374;
       210;    1680,0;;         5;      -369;
       211;    1688,0;;         5;      -365;
       212;    1696,0;;         4;      -360;
       213;    1704,0;;         5;      -356;
       214;    1712,0;;         5;      -351;
       215;    1720,0;;         5;      -346;
       216;    1728,0;;         5;      -342;
       217;    1736,0;;         5;      -337;
       218;    1744,0;;         5;      -332;
       219;    1752,0;;         6;      -328;
       220;    1760,0;;         5;      -323;
       221;    1768,0;;         5;      -319;
       222;    1776,0;;         5;      -314;
       223;    1784,0;;         6;      -310;
       224;    1792,0;;         4;      -305;
       225;    1800,0;;         4;      -301;
       226;    1808,0;;         4;      -296;
       227;    1816,0;;         5;      -291;
       228;    1824,0;;         5;      -287;
       229;    1832,0;;         4;      -282;
       230;    1840,0;;         5;      -278;
       231;    1848,0;;         5;      -273;
       232;    1856,0;;         5;      -269;
