FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_H_Trapeze_I_tachy.eposacq
Date :;24/03/2026
Heure :;16:36:51

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
       167;    1336,0;;         1;      -471;
       168;    1344,0;;         1;      -719;
       169;    1352,0;;         2;      -535;
       170;    1360,0;;         0;      -569;
       171;    1368,0;;         2;      -546;
       172;    1376,0;;         2;      -547;
       173;    1384,0;;         2;      -556;
       174;    1392,0;;         2;      -529;
       175;    1400,0;;         1;      -563;
       176;    1408,0;;         2;      -582;
       177;    1416,0;;         2;      -633;
       178;    1424,0;;         2;      -579;
       179;    1432,0;;         2;      -520;
       180;    1440,0;;         1;      -477;
       181;    1448,0;;         2;      -636;
       182;    1456,0;;         2;      -532;
       183;    1464,0;;         1;      -504;
       184;    1472,0;;         2;      -539;
       185;    1480,0;;         2;      -606;
       186;    1488,0;;         2;      -512;
       187;    1496,0;;         2;      -581;
       188;    1504,0;;         2;      -488;
       189;    1512,0;;         2;      -577;
       190;    1520,0;;         3;      -600;
       191;    1528,0;;         2;      -609;
       192;    1536,0;;         3;      -616;
       193;    1544,0;;         2;      -621;
       194;    1552,0;;         2;      -629;
       195;    1560,0;;         2;      -635;
       196;    1568,0;;         2;      -643;
       197;    1576,0;;         2;      -650;
       198;    1584,0;;         2;      -660;
       199;    1592,0;;         2;      -663;
       200;    1600,0;;         2;      -669;
       201;    1608,0;;         2;      -676;
       202;    1616,0;;         2;      -686;
       203;    1624,0;;         2;      -690;
       204;    1632,0;;         2;      -606;
       205;    1640,0;;         3;      -576;
       206;    1648,0;;         2;      -650;
       207;    1656,0;;         2;      -667;
       208;    1664,0;;         2;      -673;
       209;    1672,0;;         2;      -678;
       210;    1680,0;;         3;      -682;
       211;    1688,0;;         3;      -688;
       212;    1696,0;;         3;      -692;
       213;    1704,0;;         2;      -698;
       214;    1712,0;;         3;      -703;
       215;    1720,0;;         4;      -703;
       216;    1728,0;;         2;      -709;
       217;    1736,0;;         4;      -714;
       218;    1744,0;;         3;      -720;
       219;    1752,0;;         3;      -720;
       220;    1760,0;;         2;      -728;
       221;    1768,0;;         3;      -731;
       222;    1776,0;;         3;      -738;
       223;    1784,0;;         4;      -742;
       224;    1792,0;;         4;      -746;
       225;    1800,0;;         3;      -750;
       226;    1808,0;;         2;      -756;
       227;    1816,0;;         3;      -760;
       228;    1824,0;;         3;      -765;
       229;    1832,0;;         4;      -770;
       230;    1840,0;;         3;      -774;
       231;    1848,0;;         3;      -778;
       232;    1856,0;;         3;      -785;
       233;    1864,0;;         5;      -788;
       234;    1872,0;;         3;      -796;
       235;    1880,0;;         4;      -799;
       236;    1888,0;;         2;      -800;
       237;    1896,0;;         3;      -806;
       238;    1904,0;;         3;      -806;
       239;    1912,0;;         2;      -816;
       240;    1920,0;;         2;      -820;
       241;    1928,0;;         0;      -828;
       242;    1936,0;;         2;      -830;
       243;    1944,0;;         2;      -835;
       244;    1952,0;;         3;      -837;
       245;    1960,0;;         1;      -840;
       246;    1968,0;;         2;      -847;
       247;    1976,0;;         2;      -853;
       248;    1984,0;;         3;      -861;
       249;    1992,0;;         2;      -706;
       250;    2000,0;;         3;      -797;
       251;    2008,0;;         2;      -821;
       252;    2016,0;;         3;      -822;
       253;    2024,0;;         2;      -826;
       254;    2032,0;;         2;      -828;
       255;    2040,0;;         2;      -837;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

