FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_V_Trapeze_I_tachy_1M.eposacq
Date :;24/03/2026
Heure :;16:41:50

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
       165;    1320,0;;         1;      -484;
       166;    1328,0;;         3;      -414;
       167;    1336,0;;         1;      -333;
       168;    1344,0;;         3;      -412;
       169;    1352,0;;         2;      -377;
       170;    1360,0;;         2;      -470;
       171;    1368,0;;         3;      -336;
       172;    1376,0;;         2;      -432;
       173;    1384,0;;         2;      -412;
       174;    1392,0;;         2;      -324;
       175;    1400,0;;         2;      -358;
       176;    1408,0;;         2;      -283;
       177;    1416,0;;         2;      -361;
       178;    1424,0;;         2;      -375;
       179;    1432,0;;         3;      -184;
       180;    1440,0;;         3;      -291;
       181;    1448,0;;         3;      -325;
       182;    1456,0;;         2;      -327;
       183;    1464,0;;         2;      -325;
       184;    1472,0;;         2;      -323;
       185;    1480,0;;         2;      -321;
       186;    1488,0;;         2;      -146;
       187;    1496,0;;         3;      -208;
       188;    1504,0;;         3;      -256;
       189;    1512,0;;         3;      -261;
       190;    1520,0;;         3;      -258;
       191;    1528,0;;         3;      -253;
       192;    1536,0;;         5;      -248;
       193;    1544,0;;         5;      -244;
       194;    1552,0;;         4;      -239;
       195;    1560,0;;         5;      -234;
       196;    1568,0;;         4;      -230;
       197;    1576,0;;         4;      -225;
       198;    1584,0;;         4;      -221;
       199;    1592,0;;         5;      -216;
       200;    1600,0;;         5;      -211;
       201;    1608,0;;         4;      -207;
       202;    1616,0;;         5;      -202;
       203;    1624,0;;         4;      -198;
       204;    1632,0;;         5;      -193;
       205;    1640,0;;         3;      -188;
       206;    1648,0;;         3;      -184;
       207;    1656,0;;         5;      -179;
       208;    1664,0;;         3;      -175;
       209;    1672,0;;         4;      -170;
       210;    1680,0;;         3;      -166;
       211;    1688,0;;         6;      -161;
       212;    1696,0;;         4;      -156;
       213;    1704,0;;         5;      -152;
       214;    1712,0;;         4;      -147;
       215;    1720,0;;         4;      -143;
       216;    1728,0;;         5;      -138;
       217;    1736,0;;         4;      -134;
       218;    1744,0;;         4;      -129;
       219;    1752,0;;         4;      -125;
       220;    1760,0;;         4;      -120;
       221;    1768,0;;         6;      -115;
       222;    1776,0;;         5;      -111;
       223;    1784,0;;         5;      -106;
       224;    1792,0;;         5;      -102;
       225;    1800,0;;         5;       -97;
       226;    1808,0;;         5;       -92;
       227;    1816,0;;         4;       -88;
       228;    1824,0;;         6;       -83;
       229;    1832,0;;         4;       -79;
       230;    1840,0;;         4;       -74;
       231;    1848,0;;         5;       -70;
       232;    1856,0;;         5;       -65;
       233;    1864,0;;         5;       -60;
       234;    1872,0;;         5;       -56;
       235;    1880,0;;         3;       -51;
       236;    1888,0;;         5;       -47;
       237;    1896,0;;         4;       -42;
       238;    1904,0;;         4;       -38;
       239;    1912,0;;         4;       -33;
       240;    1920,0;;         5;       -28;
       241;    1928,0;;         5;       -24;
       242;    1936,0;;         4;       -19;
       243;    1944,0;;         5;       -14;
       244;    1952,0;;         4;       -10;
       245;    1960,0;;         4;        -5;
       246;    1968,0;;         5;        -2;
       247;    1976,0;;         6;         3;
       248;    1984,0;;         5;         5;
       249;    1992,0;;         5;        13;
       250;    2000,0;;         6;        17;
       251;    2008,0;;         4;        22;
       252;    2016,0;;         5;        27;
       253;    2024,0;;         5;        31;
       254;    2032,0;;         4;        35;
       255;    2040,0;;         4;        41;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

