FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_1000mm.eposacq
Date :;02/04/2026
Heure :;13:55:48

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 1000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 1000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -44;       -44;
         1;      10,0;;         0;         0;       -44;       -44;
         2;      20,0;;         0;         0;       -44;       -44;
         3;      30,0;;         0;         0;       -44;       -44;
         4;      40,0;;         0;         0;       -44;       -44;
         5;      50,0;;         0;         0;       -44;       -44;
         6;      60,0;;         0;         0;       -44;       -44;
         7;      70,0;;         0;         0;       -44;       -44;
         8;      80,0;;      1000;        40;       710;       619;
         9;      90,0;;      1000;       280;       153;       298;
        10;     100,0;;      1000;       498;        94;       123;
        11;     110,0;;      1000;       650;       118;       110;
        12;     120,0;;      1000;       757;        90;        98;
        13;     130,0;;      1000;       828;       100;       109;
        14;     140,0;;      1000;       873;       130;       128;
        15;     150,0;;      1000;       909;       125;       119;
        16;     160,0;;      1000;       934;       109;       125;
        17;     170,0;;      1000;       950;       134;       133;
        18;     180,0;;      1000;       966;       117;       108;
        19;     190,0;;      1000;       976;       107;       118;
        20;     200,0;;      1000;       982;       124;       123;
        21;     210,0;;      1000;       991;       114;       102;
        22;     220,0;;      1000;       996;        89;       105;
        23;     230,0;;      1000;       996;       110;       108;
        24;     240,0;;      1000;      1000;       106;       100;
        25;     250,0;;      1000;      1002;        83;        99;
        26;     260,0;;      1000;      1000;       113;       113;
        27;     270,0;;      1000;      1002;       105;        97;
        28;     280,0;;      1000;      1001;        83;       102;
        29;     290,0;;      1000;       999;       110;       110;
        30;     300,0;;      1000;      1000;       107;       105;
        31;     310,0;;      1000;      1000;        92;       109;
        32;     320,0;;      1000;       996;       120;       124;
        33;     330,0;;      1000;       998;       114;       110;
        34;     340,0;;      1000;       997;       110;       116;
        35;     350,0;;      1000;       996;       124;       128;
        36;     360,0;;      1000;       997;       125;       115;
        37;     370,0;;      1000;       996;       108;       127;
        38;     380,0;;      1000;       991;       159;       147;
        39;     390,0;;      1000;       992;       136;       137;
        40;     400,0;;      1000;       993;       128;       133;
        41;     410,0;;      1000;       996;       122;       138;
        42;     420,0;;      1000;      1001;       121;       112;
        43;     430,0;;      1000;      1001;       107;       123;
        44;     440,0;;      1000;       999;       137;       137;
        45;     450,0;;      1000;      1001;       125;       118;
        46;     460,0;;      1000;      1004;        84;       116;
        47;     470,0;;      1000;      1004;       123;       112;
        48;     480,0;;      1000;      1007;       106;        98;
        49;     490,0;;      1000;      1006;       107;       107;
        50;     500,0;;      1000;      1000;       133;       130;
        51;     510,0;;      1000;       997;       144;       129;
        52;     520,0;;      1000;       995;       124;       133;
        53;     530,0;;      1000;       996;       134;       131;
        54;     540,0;;      1000;      1000;       110;       113;
        55;     550,0;;      1000;      1000;       121;       125;
        56;     560,0;;      1000;       995;       148;       150;
        57;     570,0;;      1000;       995;       144;       134;
        58;     580,0;;      1000;       995;       124;       144;
        59;     590,0;;      1000;       994;       147;       149;
        60;     600,0;;      1000;       998;       136;       125;
        61;     610,0;;      1000;      1000;       119;       133;
        62;     620,0;;      1000;       998;       143;       148;
        63;     630,0;;      1000;      1000;       138;       131;
        64;     640,0;;      1000;       997;       131;       152;
        65;     650,0;;      1000;       996;       150;       154;
        66;     660,0;;      1000;      1002;       112;       118;
        67;     670,0;;      1000;      1007;        98;       113;
        68;     680,0;;      1000;      1007;       124;       117;
        69;     690,0;;      1000;      1008;       127;       100;
        70;     700,0;;      1000;      1008;       109;       108;
        71;     710,0;;      1000;      1005;       120;       121;
        72;     720,0;;      1000;      1007;       109;       102;
        73;     730,0;;      1000;      1005;        97;       107;
        74;     740,0;;      1000;       999;       131;       134;
        75;     750,0;;      1000;       999;       122;       119;
        76;     760,0;;      1000;       998;       117;       121;
        77;     770,0;;      1000;       998;       135;       126;
        78;     780,0;;      1000;      1000;       118;       109;
        79;     790,0;;      1000;      1000;       116;       116;
        80;     800,0;;      1000;       996;       137;       138;
        81;     810,0;;      1000;       998;       141;       117;
        82;     820,0;;      1000;       998;       112;       131;
        83;     830,0;;      1000;       995;       143;       141;
        84;     840,0;;      1000;       998;       131;       124;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

