FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_4000mm.eposacq
Date :;02/04/2026
Heure :;13:55:13

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 4000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 4000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -46;       -46;
         1;      10,0;;         0;         0;       -46;       -46;
         2;      20,0;;         0;         0;       -46;       -46;
         3;      30,0;;         0;         0;       -46;       -46;
         4;      40,0;;         0;         0;       -46;       -46;
         5;      50,0;;         0;         0;       -46;       -46;
         6;      60,0;;         0;         0;       -46;       -46;
         7;      70,0;;         0;         0;       -46;       -46;
         8;      80,0;;      4000;        10;      1200;       578;
         9;      90,0;;      4000;       363;      1200;      1165;
        10;     100,0;;      4000;      1075;      1200;      1187;
        11;     110,0;;      4000;      2003;       202;       582;
        12;     120,0;;      4000;      2760;       -39;         3;
        13;     130,0;;      4000;      3230;         2;        -2;
        14;     140,0;;      4000;      3509;        44;        51;
        15;     150,0;;      4000;      3673;       122;       111;
        16;     160,0;;      4000;      3772;       170;       160;
        17;     170,0;;      4000;      3841;       147;       153;
        18;     180,0;;      4000;      3888;       148;       156;
        19;     190,0;;      4000;      3921;       154;       156;
        20;     200,0;;      4000;      3946;       147;       145;
        21;     210,0;;      4000;      3960;       158;       159;
        22;     220,0;;      4000;      3967;       189;       173;
        23;     230,0;;      4000;      3975;       167;       168;
        24;     240,0;;      4000;      3980;       162;       180;
        25;     250,0;;      4000;      3986;       170;       168;
        26;     260,0;;      4000;      3995;       120;       147;
        27;     270,0;;      4000;      4003;       121;       130;
        28;     280,0;;      4000;      4004;       148;       141;
        29;     290,0;;      4000;      4002;       148;       151;
        30;     300,0;;      4000;      4000;       140;       160;
        31;     310,0;;      4000;      4000;       152;       147;
        32;     320,0;;      4000;      4003;       136;       136;
        33;     330,0;;      4000;      4005;       118;       138;
        34;     340,0;;      4000;      4001;       154;       150;
        35;     350,0;;      4000;      3998;       153;       159;
        36;     360,0;;      4000;      3996;       157;       165;
        37;     370,0;;      4000;      3994;       168;       166;
        38;     380,0;;      4000;      3996;       159;       158;
        39;     390,0;;      4000;      3995;       169;       171;
        40;     400,0;;      4000;      3994;       174;       171;
        41;     410,0;;      4000;      3997;       148;       161;
        42;     420,0;;      4000;      4000;       139;       153;
        43;     430,0;;      4000;      4002;       155;       147;
        44;     440,0;;      4000;      4004;       148;       143;
        45;     450,0;;      4000;      4001;       157;       163;
        46;     460,0;;      4000;      3998;       172;       173;
        47;     470,0;;      4000;      3996;       169;       172;
        48;     480,0;;      4000;      3998;       142;       160;
        49;     490,0;;      4000;      4003;       138;       144;
        50;     500,0;;      4000;      4011;       112;       117;
        51;     510,0;;      4000;      4012;       111;       128;
        52;     520,0;;      4000;      4006;       149;       145;
        53;     530,0;;      4000;      4002;       142;       147;
        54;     540,0;;      4000;      4000;       130;       155;
        55;     550,0;;      4000;      4001;       144;       137;
        56;     560,0;;      4000;      4004;       127;       128;
        57;     570,0;;      4000;      4003;       125;       145;
        58;     580,0;;      4000;      3998;       155;       154;
        59;     590,0;;      4000;      3996;       151;       159;
        60;     600,0;;      4000;      3994;       148;       172;
        61;     610,0;;      4000;      3993;       169;       165;
        62;     620,0;;      4000;      3994;       163;       164;
        63;     630,0;;      4000;      3992;       160;       180;
        64;     640,0;;      4000;      3993;       171;       171;
        65;     650,0;;      4000;      3998;       148;       156;
        66;     660,0;;      4000;      4002;       134;       152;
        67;     670,0;;      4000;      4002;       162;       151;
        68;     680,0;;      4000;      4003;       154;       152;
        69;     690,0;;      4000;      4000;       150;       171;
        70;     700,0;;      4000;      3995;       179;       181;
        71;     710,0;;      4000;      3994;       172;       174;
        72;     720,0;;      4000;      3999;       135;       167;
        73;     730,0;;      4000;      4005;       132;       136;
        74;     740,0;;      4000;      4010;       134;       127;
        75;     750,0;;      4000;      4009;       125;       141;
        76;     760,0;;      4000;      4006;       145;       142;
        77;     770,0;;      4000;      4005;       138;       137;
        78;     780,0;;      4000;      4005;       121;       139;
        79;     790,0;;      4000;      4004;       142;       139;
        80;     800,0;;      4000;      4003;       138;       138;
        81;     810,0;;      4000;      4000;       135;       154;
        82;     820,0;;      4000;      3995;       176;       162;
        83;     830,0;;      4000;      3995;       153;       157;
        84;     840,0;;      4000;      3997;       136;       154;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

