FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_7000mm.eposacq
Date :;02/04/2026
Heure :;13:54:04

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 7000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 7000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;        72;        72;
         1;      10,0;;         0;         0;        72;        72;
         2;      20,0;;         0;         0;        72;        72;
         3;      30,0;;         0;         0;        72;        72;
         4;      40,0;;         0;         0;        72;        72;
         5;      50,0;;         0;         0;        72;        72;
         6;      60,0;;         0;         0;        72;        72;
         7;      70,0;;         0;         0;        72;        72;
         8;      80,0;;      7000;        10;      1200;       603;
         9;      90,0;;      7000;       333;      1200;      1164;
        10;     100,0;;      7000;      1017;      1200;      1187;
        11;     110,0;;      7000;      1959;      1200;      1191;
        12;     120,0;;      7000;      3085;      1200;      1182;
        13;     130,0;;      7000;      4247;       490;       580;
        14;     140,0;;      7000;      5186;        66;       171;
        15;     150,0;;      7000;      5829;        41;        19;
        16;     160,0;;      7000;      6228;       103;        74;
        17;     170,0;;      7000;      6471;       153;       166;
        18;     180,0;;      7000;      6632;       182;       167;
        19;     190,0;;      7000;      6751;       146;       139;
        20;     200,0;;      7000;      6829;       122;       153;
        21;     210,0;;      7000;      6877;       178;       165;
        22;     220,0;;      7000;      6910;       194;       174;
        23;     230,0;;      7000;      6935;       159;       173;
        24;     240,0;;      7000;      6947;       207;       182;
        25;     250,0;;      7000;      6961;       199;       184;
        26;     260,0;;      7000;      6968;       196;       201;
        27;     270,0;;      7000;      6973;       212;       197;
        28;     280,0;;      7000;      6981;       203;       192;
        29;     290,0;;      7000;      6987;       171;       197;
        30;     300,0;;      7000;      6983;       240;       211;
        31;     310,0;;      7000;      6987;       201;       207;
        32;     320,0;;      7000;      7000;       144;       164;
        33;     330,0;;      7000;      7005;       171;       162;
        34;     340,0;;      7000;      7008;       174;       160;
        35;     350,0;;      7000;      7008;       156;       165;
        36;     360,0;;      7000;      7004;       190;       169;
        37;     370,0;;      7000;      6999;       200;       192;
        38;     380,0;;      7000;      7000;       145;       186;
        39;     390,0;;      7000;      6999;       182;       180;
        40;     400,0;;      7000;      6998;       187;       184;
        41;     410,0;;      7000;      7000;       152;       183;
        42;     420,0;;      7000;      6998;       203;       181;
        43;     430,0;;      7000;      6995;       209;       202;
        44;     440,0;;      7000;      6991;       177;       219;
        45;     450,0;;      7000;      6995;       172;       189;
        46;     460,0;;      7000;      7004;       176;       161;
        47;     470,0;;      7000;      7008;       157;       162;
        48;     480,0;;      7000;      7004;       194;       170;
        49;     490,0;;      7000;      7003;       187;       175;
        50;     500,0;;      7000;      7003;       178;       170;
        51;     510,0;;      7000;      6998;       195;       194;
        52;     520,0;;      7000;      7000;       197;       176;
        53;     530,0;;      7000;      6998;       172;       193;
        54;     540,0;;      7000;      6995;       208;       191;
        55;     550,0;;      7000;      6997;       198;       187;
        56;     560,0;;      7000;      6997;       178;       191;
        57;     570,0;;      7000;      6992;       214;       215;
        58;     580,0;;      7000;      6995;       185;       197;
        59;     590,0;;      7000;      7007;       139;       155;
        60;     600,0;;      7000;      7009;       167;       151;
        61;     610,0;;      7000;      7009;       177;       161;
        62;     620,0;;      7000;      7008;       151;       166;
        63;     630,0;;      7000;      7005;       168;       163;
        64;     640,0;;      7000;      6999;       191;       193;
        65;     650,0;;      7000;      6998;       157;       186;
        66;     660,0;;      7000;      6997;       186;       182;
        67;     670,0;;      7000;      6996;       195;       189;
        68;     680,0;;      7000;      6998;       171;       181;
        69;     690,0;;      7000;      6993;       227;       199;
        70;     700,0;;      7000;      6989;       238;       221;
        71;     710,0;;      7000;      6994;       157;       208;
        72;     720,0;;      7000;      7002;       162;       162;
        73;     730,0;;      7000;      7007;       179;       159;
        74;     740,0;;      7000;      7010;       144;       164;
        75;     750,0;;      7000;      7006;       175;       171;
        76;     760,0;;      7000;      7006;       177;       174;
        77;     770,0;;      7000;      7001;       174;       188;
        78;     780,0;;      7000;      6999;       181;       179;
        79;     790,0;;      7000;      7000;       189;       176;
        80;     800,0;;      7000;      6999;       161;       175;
        81;     810,0;;      7000;      6999;       179;       179;
        82;     820,0;;      7000;      6998;       191;       183;
        83;     830,0;;      7000;      6997;       180;       195;
        84;     840,0;;      7000;      6994;       195;       200;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

