FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_6000mm.eposacq
Date :;02/04/2026
Heure :;13:54:19

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 6000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 6000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -41;       -41;
         1;      10,0;;         0;         0;       -41;       -41;
         2;      20,0;;         0;         0;       -41;       -41;
         3;      30,0;;         0;         0;       -41;       -41;
         4;      40,0;;         0;         0;       -41;       -41;
         5;      50,0;;         0;         0;       -41;       -41;
         6;      60,0;;         0;         0;       -41;       -41;
         7;      70,0;;         0;         0;       -41;       -41;
         8;      80,0;;      6000;        25;      1200;       785;
         9;      90,0;;      6000;       417;      1200;      1173;
        10;     100,0;;      6000;      1155;      1200;      1190;
        11;     110,0;;      6000;      2141;      1200;      1187;
        12;     120,0;;      6000;      3277;       360;       706;
        13;     130,0;;      6000;      4233;        18;        58;
        14;     140,0;;      6000;      4853;        46;        26;
        15;     150,0;;      6000;      5239;       103;        83;
        16;     160,0;;      6000;      5476;       178;       154;
        17;     170,0;;      6000;      5630;       198;       189;
        18;     180,0;;      6000;      5739;       196;       180;
        19;     190,0;;      6000;      5818;       177;       174;
        20;     200,0;;      6000;      5867;       205;       193;
        21;     210,0;;      6000;      5899;       218;       214;
        22;     220,0;;      6000;      5928;       194;       190;
        23;     230,0;;      6000;      5955;       161;       164;
        24;     240,0;;      6000;      5972;       171;       157;
        25;     250,0;;      6000;      5980;       182;       175;
        26;     260,0;;      6000;      5983;       192;       183;
        27;     270,0;;      6000;      5989;       178;       171;
        28;     280,0;;      6000;      5992;       188;       176;
        29;     290,0;;      6000;      5991;       188;       190;
        30;     300,0;;      6000;      5993;       193;       176;
        31;     310,0;;      6000;      5996;       186;       177;
        32;     320,0;;      6000;      5996;       187;       182;
        33;     330,0;;      6000;      5996;       186;       183;
        34;     340,0;;      6000;      5998;       188;       181;
        35;     350,0;;      6000;      5998;       200;       181;
        36;     360,0;;      6000;      5995;       203;       198;
        37;     370,0;;      6000;      5991;       209;       211;
        38;     380,0;;      6000;      5995;       177;       191;
        39;     390,0;;      6000;      6006;       149;       151;
        40;     400,0;;      6000;      6008;       166;       158;
        41;     410,0;;      6000;      6006;       175;       168;
        42;     420,0;;      6000;      6005;       171;       163;
        43;     430,0;;      6000;      6003;       181;       172;
        44;     440,0;;      6000;      5997;       207;       189;
        45;     450,0;;      6000;      5993;       209;       199;
        46;     460,0;;      6000;      5996;       179;       175;
        47;     470,0;;      6000;      5995;       208;       192;
        48;     480,0;;      6000;      5994;       210;       193;
        49;     490,0;;      6000;      5996;       177;       188;
        50;     500,0;;      6000;      5999;       189;       180;
        51;     510,0;;      6000;      5998;       199;       190;
        52;     520,0;;      6000;      5994;       224;       208;
        53;     530,0;;      6000;      5996;       190;       190;
        54;     540,0;;      6000;      6004;       156;       158;
        55;     550,0;;      6000;      6010;       164;       149;
        56;     560,0;;      6000;      6009;       170;       161;
        57;     570,0;;      6000;      6006;       170;       163;
        58;     580,0;;      6000;      6005;       168;       163;
        59;     590,0;;      6000;      6001;       196;       176;
        60;     600,0;;      6000;      5997;       189;       187;
        61;     610,0;;      6000;      5995;       184;       184;
        62;     620,0;;      6000;      5996;       200;       179;
        63;     630,0;;      6000;      5995;       191;       192;
        64;     640,0;;      6000;      5995;       190;       184;
        65;     650,0;;      6000;      5997;       202;       183;
        66;     660,0;;      6000;      5997;       196;       189;
        67;     670,0;;      6000;      5993;       224;       209;
        68;     680,0;;      6000;      5987;       233;       227;
        69;     690,0;;      6000;      5992;       202;       200;
        70;     700,0;;      6000;      6004;       164;       161;
        71;     710,0;;      6000;      6009;       169;       156;
        72;     720,0;;      6000;      6008;       189;       166;
        73;     730,0;;      6000;      6006;       174;       169;
        74;     740,0;;      6000;      6005;       172;       166;
        75;     750,0;;      6000;      6000;       189;       184;
        76;     760,0;;      6000;      5997;       186;       185;
        77;     770,0;;      6000;      6000;       171;       166;
        78;     780,0;;      6000;      5999;       189;       178;
        79;     790,0;;      6000;      5997;       193;       191;
        80;     800,0;;      6000;      5997;       186;       180;
        81;     810,0;;      6000;      6000;       182;       174;
        82;     820,0;;      6000;      6000;       180;       171;
        83;     830,0;;      6000;      5996;       213;       196;
        84;     840,0;;      6000;      5995;       192;       189;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

