FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_8000mm.eposacq
Date :;02/04/2026
Heure :;13:53:20

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 8000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 8000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -12;       -12;
         1;      10,0;;         0;         0;       -12;       -12;
         2;      20,0;;         0;         0;       -12;       -12;
         3;      30,0;;         0;         0;       -12;       -12;
         4;      40,0;;         0;         0;       -12;       -12;
         5;      50,0;;         0;         0;       -12;       -12;
         6;      60,0;;         0;         0;       -12;       -12;
         7;      70,0;;         0;         0;       -12;       -12;
         8;      80,0;;      8000;        62;      1200;       947;
         9;      90,0;;      8000;       509;      1200;      1178;
        10;     100,0;;      8000;      1277;      1200;      1186;
        11;     110,0;;      8000;      2278;      1200;      1186;
        12;     120,0;;      8000;      3442;      1200;      1003;
        13;     130,0;;      8000;      4551;      1200;       450;
        14;     140,0;;      8000;      5419;      1200;       254;
        15;     150,0;;      8000;      6069;      1200;       211;
        16;     160,0;;      8000;      6542;      1200;       200;
        17;     170,0;;      8000;      6885;      1200;       189;
        18;     180,0;;      8000;      7139;      1200;       211;
        19;     190,0;;      8000;      7320;      1200;       195;
        20;     200,0;;      8000;      7442;      1200;       233;
        21;     210,0;;      8000;      7537;      1200;       205;
        22;     220,0;;      8000;      7618;      1200;       182;
        23;     230,0;;      8000;      7676;      1200;       208;
        24;     240,0;;      8000;      7716;      1200;       178;
        25;     250,0;;      8000;      7745;      1200;       193;
        26;     260,0;;      8000;      7761;      1200;       200;
        27;     270,0;;      8000;      7774;      1200;       175;
        28;     280,0;;      8000;      7786;      1200;       196;
        29;     290,0;;      8000;      7791;      1200;       177;
        30;     300,0;;      8000;      7794;      1200;       195;
        31;     310,0;;      8000;      7795;      1200;       205;
        32;     320,0;;      8000;      7793;      1200;       200;
        33;     330,0;;      8000;      7794;      1200;       223;
        34;     340,0;;      8000;      7804;      1200;       164;
        35;     350,0;;      8000;      7811;      1200;       179;
        36;     360,0;;      8000;      7817;      1200;       188;
        37;     370,0;;      8000;      7822;      1200;       159;
        38;     380,0;;      8000;      7819;      1200;       204;
        39;     390,0;;      8000;      7816;      1200;       185;
        40;     400,0;;      8000;      7815;      1200;       178;
        41;     410,0;;      8000;      7813;      1200;       194;
        42;     420,0;;      8000;      7811;      1200;       188;
        43;     430,0;;      8000;      7808;      1200;       209;
        44;     440,0;;      8000;      7801;      1200;       188;
        45;     450,0;;      8000;      7798;      1200;       197;
        46;     460,0;;      8000;      7804;      1200;       187;
        47;     470,0;;      8000;      7809;      1200;       159;
        48;     480,0;;      8000;      7813;      1200;       189;
        49;     490,0;;      8000;      7815;      1200;       162;
        50;     500,0;;      8000;      7813;      1200;       177;
        51;     510,0;;      8000;      7811;      1200;       205;
        52;     520,0;;      8000;      7812;      1200;       180;
        53;     530,0;;      8000;      7810;      1200;       209;
        54;     540,0;;      8000;      7809;      1200;       167;
        55;     550,0;;      8000;      7805;      1200;       191;
        56;     560,0;;      8000;      7801;      1200;       222;
        57;     570,0;;      8000;      7801;      1200;       166;
        58;     580,0;;      8000;      7806;      1200;       183;
        59;     590,0;;      8000;      7809;      1200;       167;
        60;     600,0;;      8000;      7812;      1200;       167;
        61;     610,0;;      8000;      7813;      1200;       188;
        62;     620,0;;      8000;      7807;      1200;       186;
        63;     630,0;;      8000;      7810;      1200;       195;
        64;     640,0;;      8000;      7812;      1200;       172;
        65;     650,0;;      8000;      7813;      1200;       192;
        66;     660,0;;      8000;      7810;      1200;       215;
        67;     670,0;;      8000;      7803;      1200;       187;
        68;     680,0;;      8000;      7797;      1200;       230;
        69;     690,0;;      8000;      7798;      1200;       178;
        70;     700,0;;      8000;      7805;      1200;       170;
        71;     710,0;;      8000;      7809;      1200;       200;
        72;     720,0;;      8000;      7813;      1200;       173;
        73;     730,0;;      8000;      7817;      1200;       181;
        74;     740,0;;      8000;      7814;      1200;       184;
        75;     750,0;;      8000;      7813;      1200;       195;
        76;     760,0;;      8000;      7818;      1200;       199;
        77;     770,0;;      8000;      7818;      1200;       172;
        78;     780,0;;      8000;      7816;      1200;       198;
        79;     790,0;;      8000;      7810;      1200;       192;
        80;     800,0;;      8000;      7802;      1200;       210;
        81;     810,0;;      8000;      7807;      1200;       203;
        82;     820,0;;      8000;      7817;      1200;       156;
        83;     830,0;;      8000;      7818;      1200;       181;
        84;     840,0;;      8000;      7818;      1200;       184;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

