FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_2000mm.eposacq
Date :;02/04/2026
Heure :;11:32:51

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 2000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 2000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;        76;        76;
         1;      10,0;;         0;         0;        76;        76;
         2;      20,0;;         0;         0;        76;        76;
         3;      30,0;;         0;         0;        76;        76;
         4;      40,0;;         0;         0;        76;        76;
         5;      50,0;;         0;         0;        76;        76;
         6;      60,0;;         0;         0;        76;        76;
         7;      70,0;;         0;         0;        76;        76;
         8;      80,0;;      2000;        10;      1200;       635;
         9;      90,0;;      2000;       337;       935;      1121;
        10;     100,0;;      2000;       890;       129;       292;
        11;     110,0;;      2000;      1308;        12;        35;
        12;     120,0;;      2000;      1561;        75;        56;
        13;     130,0;;      2000;      1714;        98;        96;
        14;     140,0;;      2000;      1805;       141;       122;
        15;     150,0;;      2000;      1865;       133;       129;
        16;     160,0;;      2000;      1905;       141;       135;
        17;     170,0;;      2000;      1931;       157;       143;
        18;     180,0;;      2000;      1953;       126;       131;
        19;     190,0;;      2000;      1969;       122;       130;
        20;     200,0;;      2000;      1977;       146;       137;
        21;     210,0;;      2000;      1984;       121;       135;
        22;     220,0;;      2000;      1988;       136;       137;
        23;     230,0;;      2000;      1988;       170;       146;
        24;     240,0;;      2000;      1992;       132;       138;
        25;     250,0;;      2000;      1992;       160;       150;
        26;     260,0;;      2000;      1990;       180;       157;
        27;     270,0;;      2000;      1994;       141;       150;
        28;     280,0;;      2000;      1997;       142;       141;
        29;     290,0;;      2000;      1997;       154;       147;
        30;     300,0;;      2000;      2002;       123;       127;
        31;     310,0;;      2000;      2003;       138;       132;
        32;     320,0;;      2000;      1999;       173;       149;
        33;     330,0;;      2000;      1998;       138;       151;
        34;     340,0;;      2000;      1997;       147;       153;
        35;     350,0;;      2000;      1994;       178;       159;
        36;     360,0;;      2000;      1996;       142;       155;
        37;     370,0;;      2000;      1996;       153;       158;
        38;     380,0;;      2000;      1997;       162;       153;
        39;     390,0;;      2000;      2001;       133;       142;
        40;     400,0;;      2000;      2004;       134;       132;
        41;     410,0;;      2000;      2005;       146;       133;
        42;     420,0;;      2000;      2007;       110;       131;
        43;     430,0;;      2000;      2005;       132;       132;
        44;     440,0;;      2000;      2001;       155;       147;
        45;     450,0;;      2000;      1999;       147;       147;
        46;     460,0;;      2000;      1997;       149;       156;
        47;     470,0;;      2000;      1995;       165;       157;
        48;     480,0;;      2000;      1997;       153;       145;
        49;     490,0;;      2000;      1997;       151;       154;
        50;     500,0;;      2000;      1996;       170;       160;
        51;     510,0;;      2000;      2000;       137;       144;
        52;     520,0;;      2000;      2002;       143;       139;
        53;     530,0;;      2000;      2002;       153;       143;
        54;     540,0;;      2000;      2005;       120;       131;
        55;     550,0;;      2000;      2008;       112;       123;
        56;     560,0;;      2000;      2004;       157;       135;
        57;     570,0;;      2000;      2003;       129;       136;
        58;     580,0;;      2000;      2000;       137;       144;
        59;     590,0;;      2000;      1995;       177;       157;
        60;     600,0;;      2000;      1995;       144;       154;
        61;     610,0;;      2000;      1995;       143;       159;
        62;     620,0;;      2000;      1995;       178;       155;
        63;     630,0;;      2000;      1999;       137;       144;
        64;     640,0;;      2000;      2002;       137;       138;
        65;     650,0;;      2000;      2002;       153;       143;
        66;     660,0;;      2000;      2004;       128;       136;
        67;     670,0;;      2000;      2005;       133;       132;
        68;     680,0;;      2000;      2002;       155;       143;
        69;     690,0;;      2000;      2002;       134;       142;
        70;     700,0;;      2000;      1998;       151;       153;
        71;     710,0;;      2000;      1995;       176;       158;
        72;     720,0;;      2000;      1995;       151;       160;
        73;     730,0;;      2000;      1994;       162;       168;
        74;     740,0;;      2000;      1993;       183;       162;
        75;     750,0;;      2000;      1999;       134;       154;
        76;     760,0;;      2000;      2000;       147;       151;
        77;     770,0;;      2000;      2002;       157;       143;
        78;     780,0;;      2000;      2003;       140;       142;
        79;     790,0;;      2000;      2002;       148;       152;
        80;     800,0;;      2000;      1997;       187;       165;
        81;     810,0;;      2000;      1996;       158;       170;
        82;     820,0;;      2000;      1996;       159;       164;
        83;     830,0;;      2000;      1997;       183;       158;
        84;     840,0;;      2000;      2000;       144;       154;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

