FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_3000mm.eposacq
Date :;02/04/2026
Heure :;13:55:31

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 3000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -29;       -29;
         1;      10,0;;         0;         0;       -29;       -29;
         2;      20,0;;         0;         0;       -29;       -29;
         3;      30,0;;         0;         0;       -29;       -29;
         4;      40,0;;         0;         0;       -29;       -29;
         5;      50,0;;         0;         0;       -29;       -29;
         6;      60,0;;         0;         0;       -29;       -29;
         7;      70,0;;         0;         0;       -29;       -29;
         8;      80,0;;      3000;         0;       -29;       -29;
         9;      90,0;;      3000;       200;      1200;      1127;
        10;     100,0;;      3000;       801;      1200;      1188;
        11;     110,0;;      3000;      1588;        90;       324;
        12;     120,0;;      3000;      2169;       -31;       -23;
        13;     130,0;;      3000;      2514;         1;        -6;
        14;     140,0;;      3000;      2705;        64;        58;
        15;     150,0;;      3000;      2809;       115;       116;
        16;     160,0;;      3000;      2871;       140;       137;
        17;     170,0;;      3000;      2908;       166;       161;
        18;     180,0;;      3000;      2933;       167;       167;
        19;     190,0;;      3000;      2949;       164;       175;
        20;     200,0;;      3000;      2966;       153;       151;
        21;     210,0;;      3000;      2979;       141;       147;
        22;     220,0;;      3000;      2992;       126;       119;
        23;     230,0;;      3000;      2999;       128;       123;
        24;     240,0;;      3000;      3002;       130;       126;
        25;     250,0;;      3000;      3000;       136;       133;
        26;     260,0;;      3000;      2999;       142;       140;
        27;     270,0;;      3000;      2998;       137;       138;
        28;     280,0;;      3000;      3001;       131;       126;
        29;     290,0;;      3000;      3004;       113;       117;
        30;     300,0;;      3000;      3005;       126;       121;
        31;     310,0;;      3000;      3004;       112;       125;
        32;     320,0;;      3000;      3002;       133;       129;
        33;     330,0;;      3000;      2999;       132;       133;
        34;     340,0;;      3000;      2997;       151;       139;
        35;     350,0;;      3000;      2997;       134;       134;
        36;     360,0;;      3000;      2998;       134;       134;
        37;     370,0;;      3000;      3000;       118;       127;
        38;     380,0;;      3000;      3001;       138;       130;
        39;     390,0;;      3000;      2998;       145;       140;
        40;     400,0;;      3000;      2996;       155;       143;
        41;     410,0;;      3000;      2996;       144;       145;
        42;     420,0;;      3000;      2998;       148;       134;
        43;     430,0;;      3000;      3002;       118;       123;
        44;     440,0;;      3000;      3004;       127;       120;
        45;     450,0;;      3000;      3002;       133;       132;
        46;     460,0;;      3000;      3002;       139;       135;
        47;     470,0;;      3000;      2998;       139;       141;
        48;     480,0;;      3000;      2995;       167;       153;
        49;     490,0;;      3000;      2991;       165;       169;
        50;     500,0;;      3000;      2991;       156;       164;
        51;     510,0;;      3000;      2997;       128;       141;
        52;     520,0;;      3000;      3003;       132;       123;
        53;     530,0;;      3000;      3008;       108;       114;
        54;     540,0;;      3000;      3009;       120;       118;
        55;     550,0;;      3000;      3006;       138;       127;
        56;     560,0;;      3000;      3002;       151;       136;
        57;     570,0;;      3000;      3000;       136;       134;
        58;     580,0;;      3000;      2999;       149;       135;
        59;     590,0;;      3000;      3000;       132;       130;
        60;     600,0;;      3000;      3002;       131;       127;
        61;     610,0;;      3000;      3003;       127;       122;
        62;     620,0;;      3000;      3003;       127;       124;
        63;     630,0;;      3000;      3002;       129;       127;
        64;     640,0;;      3000;      3000;       143;       133;
        65;     650,0;;      3000;      2997;       145;       142;
        66;     660,0;;      3000;      2997;       138;       136;
        67;     670,0;;      3000;      2996;       153;       139;
        68;     680,0;;      3000;      2999;       134;       130;
        69;     690,0;;      3000;      2999;       136;       135;
        70;     700,0;;      3000;      2996;       174;       148;
        71;     710,0;;      3000;      2992;       169;       161;
        72;     720,0;;      3000;      2992;       162;       159;
        73;     730,0;;      3000;      2993;       152;       159;
        74;     740,0;;      3000;      2999;       126;       137;
        75;     750,0;;      3000;      3003;       126;       129;
        76;     760,0;;      3000;      3005;       135;       127;
        77;     770,0;;      3000;      3003;       141;       141;
        78;     780,0;;      3000;      3001;       156;       140;
        79;     790,0;;      3000;      2999;       162;       146;
        80;     800,0;;      3000;      2996;       171;       154;
        81;     810,0;;      3000;      2995;       142;       162;
        82;     820,0;;      3000;      2998;       144;       145;
        83;     830,0;;      3000;      3004;       120;       129;
        84;     840,0;;      3000;      3008;       121;       113;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

